cycle, observation, reward, action, explored, explore_rate, total reward, average reward
18950, 1, 1, 1, 0, 1.16806e-09, 14576, 0.769182
18951, 1, 1, 1, 0, 1.1669e-09, 14577, 0.769194
18952, 0, 0, 1, 0, 1.16573e-09, 14577, 0.769154
18953, 1, 1, 1, 0, 1.16456e-09, 14578, 0.769166
18954, 1, 1, 1, 0, 1.1634e-09, 14579, 0.769178
18955, 1, 1, 1, 0, 1.16223e-09, 14580, 0.76919
18956, 1, 1, 1, 0, 1.16107e-09, 14581, 0.769202
18957, 1, 1, 1, 0, 1.15991e-09, 14582, 0.769215
18958, 0, 0, 1, 0, 1.15875e-09, 14582, 0.769174
18959, 1, 1, 1, 0, 1.15759e-09, 14583, 0.769186
18960, 1, 1, 1, 0, 1.15644e-09, 14584, 0.769198
18961, 1, 1, 1, 0, 1.15528e-09, 14585, 0.76921
18962, 1, 1, 1, 0, 1.15412e-09, 14586, 0.769223
18963, 1, 1, 1, 0, 1.15297e-09, 14587, 0.769235
18964, 1, 1, 0, 0, 1.15182e-09, 14588, 0.769247
18965, 0, 1, 1, 0, 1.15066e-09, 14589, 0.769259
18966, 0, 0, 1, 0, 1.14951e-09, 14589, 0.769219
18967, 1, 1, 1, 0, 1.14836e-09, 14590, 0.769231
18968, 1, 1, 1, 0, 1.14722e-09, 14591, 0.769243
18969, 1, 1, 1, 0, 1.14607e-09, 14592, 0.769255
18970, 1, 1, 1, 0, 1.14492e-09, 14593, 0.769267
18971, 0, 0, 1, 0, 1.14378e-09, 14593, 0.769227
18972, 1, 1, 1, 0, 1.14263e-09, 14594, 0.769239
18973, 1, 1, 1, 0, 1.14149e-09, 14595, 0.769251
18974, 1, 1, 1, 0, 1.14035e-09, 14596, 0.769263
18975, 1, 1, 1, 0, 1.13921e-09, 14597, 0.769275
18976, 1, 1, 0, 0, 1.13807e-09, 14598, 0.769288
18977, 1, 0, 1, 0, 1.13693e-09, 14598, 0.769247
18978, 1, 1, 1, 0, 1.1358e-09, 14599, 0.769259
18979, 1, 1, 1, 0, 1.13466e-09, 14600, 0.769271
18980, 1, 1, 1, 0, 1.13352e-09, 14601, 0.769283
18981, 1, 1, 1, 0, 1.13239e-09, 14602, 0.769296
18982, 1, 1, 1, 0, 1.13126e-09, 14603, 0.769308
18983, 1, 1, 0, 0, 1.13013e-09, 14604, 0.76932
18984, 1, 0, 1, 0, 1.129e-09, 14604, 0.769279
18985, 1, 1, 1, 0, 1.12787e-09, 14605, 0.769292
18986, 1, 1, 1, 0, 1.12674e-09, 14606, 0.769304
18987, 1, 1, 1, 0, 1.12561e-09, 14607, 0.769316
18988, 0, 0, 1, 0, 1.12449e-09, 14607, 0.769275
18989, 1, 1, 1, 0, 1.12336e-09, 14608, 0.769287
18990, 1, 1, 1, 0, 1.12224e-09, 14609, 0.7693
18991, 1, 1, 1, 0, 1.12112e-09, 14610, 0.769312
18992, 1, 1, 1, 0, 1.12e-09, 14611, 0.769324
18993, 0, 0, 1, 0, 1.11888e-09, 14611, 0.769283
18994, 1, 1, 1, 0, 1.11776e-09, 14612, 0.769296
18995, 1, 1, 1, 0, 1.11664e-09, 14613, 0.769308
18996, 1, 1, 1, 0, 1.11552e-09, 14614, 0.76932
18997, 0, 0, 1, 0, 1.11441e-09, 14614, 0.769279
18998, 1, 1, 1, 0, 1.11329e-09, 14615, 0.769292
18999, 1, 1, 1, 0, 1.11218e-09, 14616, 0.769304
19000, 0, 0, 1, 0, 1.11107e-09, 14616, 0.769263
19001, 0, 0, 1, 0, 1.10996e-09, 14616, 0.769223
19002, 1, 1, 1, 0, 1.10885e-09, 14617, 0.769235
19003, 1, 1, 1, 0, 1.10774e-09, 14618, 0.769247
19004, 0, 0, 1, 0, 1.10663e-09, 14618, 0.769206
19005, 1, 1, 1, 0, 1.10552e-09, 14619, 0.769219
19006, 1, 1, 1, 0, 1.10442e-09, 14620, 0.769231
19007, 0, 0, 1, 0, 1.10331e-09, 14620, 0.76919
19008, 0, 0, 1, 0, 1.10221e-09, 14620, 0.76915
19009, 0, 0, 1, 0, 1.10111e-09, 14620, 0.769109
19010, 1, 1, 1, 0, 1.10001e-09, 14621, 0.769122
19011, 0, 0, 1, 0, 1.09891e-09, 14621, 0.769081
19012, 0, 0, 1, 0, 1.09781e-09, 14621, 0.769041
19013, 1, 1, 1, 0, 1.09671e-09, 14622, 0.769053
19014, 1, 1, 1, 0, 1.09561e-09, 14623, 0.769065
19015, 1, 1, 1, 0, 1.09452e-09, 14624, 0.769077
19016, 1, 1, 1, 0, 1.09342e-09, 14625, 0.769089
19017, 1, 1, 1, 0, 1.09233e-09, 14626, 0.769101
19018, 1, 1, 1, 0, 1.09124e-09, 14627, 0.769113
19019, 1, 1, 0, 0, 1.09015e-09, 14628, 0.769126
